0, 9.0
1, 24.0
2, 53.0
3, 96.0
4, 153.0
5, 224.0
6, 309.0
7, 408.0
8, 521.0
9, 648.0
10, 789.0
11, 944.0
12, 1113.0
13, 1296.0
14, 1493.0
15, 1704.0
16, 1929.0
17, 2168.0
18, 2421.0
19, 2688.0
20, 2969.0
21, 3264.0
22, 3573.0
23, 3896.0
24, 4233.0
25, 4584.0
26, 4949.0
27, 5328.0
28, 5721.0
29, 6128.0
30, 6549.0
31, 6984.0
32, 7433.0
33, 7896.0
34, 8373.0
35, 8864.0
36, 9369.0
37, 9888.0
38, 10421.0
39, 10968.0
40, 11529.0
41, 12104.0
42, 12693.0
43, 13296.0
44, 13913.0
45, 14544.0
46, 15189.0
47, 15848.0
48, 16521.0
49, 17208.0
50, 17909.0
51, 18624.0
52, 19353.0
53, 20096.0
54, 20853.0
55, 21624.0
56, 22409.0
57, 23208.0
58, 24021.0
59, 24848.0
60, 25689.0
61, 26544.0
62, 27413.0
63, 28296.0
64, 29193.0
65, 30104.0
66, 31029.0
67, 31968.0
68, 32921.0
69, 33888.0
70, 34869.0
71, 35864.0
72, 36873.0
73, 37896.0
74, 38933.0
75, 39984.0
76, 41049.0
77, 42128.0
78, 43221.0
79, 44328.0
80, 45449.0
81, 46584.0
82, 47733.0
83, 48896.0
84, 50073.0
85, 51264.0
86, 52469.0
87, 53688.0
88, 54921.0
89, 56168.0
90, 57429.0
91, 58704.0
92, 59993.0
93, 61296.0
94, 62613.0
95, 63944.0
96, 65289.0
97, 66648.0
98, 68021.0
99, 69408.0
