0,6
1,15
2,32
3,57
4,90
5,131
6,180
7,237
8,302
9,375
10,456
11,545
12,642
13,747
14,860
15,981
16,1110
17,1247
18,1392
19,1545
20,1706
21,1875
22,2052
23,2237
24,2430
25,2631
26,2840
27,3057
28,3282
29,3515
30,3756
31,4005
32,4262
33,4527
34,4800
35,5081
36,5370
37,5667
38,5972
39,6285
40,6606
41,6935
42,7272
43,7617
44,7970
45,8331
46,8700
47,9077
48,9462
49,9855
50,10256
51,10665
52,11082
53,11507
54,11940
55,12381
56,12830
57,13287
58,13752
59,14225
60,14706
61,15195
62,15692
63,16197
64,16710
65,17231
66,17760
67,18297
68,18842
69,19395
70,19956
71,20525
72,21102
73,21687
74,22280
75,22881
76,23490
77,24107
78,24732
79,25365
80,26006
81,26655
82,27312
83,27977
84,28650
85,29331
86,30020
87,30717
88,31422
89,32135
90,32856
91,33585
92,34322
93,35067
94,35820
95,36581
96,37350
97,38127
98,38912
99,39705
