0,-22
1,37
2,0
3,44
4,62
5,86
6,24
7,95
8,111
9,150
10,91
11,179
12,186
13,173
14,182
15,219
16,340
17,362
18,346
19,417
20,401
21,445
22,560
23,546
24,661
25,727
26,682
27,753
28,871
29,920
30,982
31,1041
32,1121
33,1143
34,1249
35,1275
36,1401
37,1410
38,1476
39,1579
40,1730
41,1799
42,1838
43,1900
44,1992
45,2102
46,2252
47,2268
48,2427
49,2464
50,2563
51,2677
52,2836
53,2942
54,2986
55,3108
56,3207
57,3414
58,3452
59,3652
60,3678
61,3810
62,3923
63,4113
64,4178
65,4369
66,4524
67,4658
68,4747
69,4933
70,5057
71,5214
72,5346
73,5452
74,5597
75,5811
76,5967
77,6105
78,6225
79,6361
80,6549
81,6761
82,6871
83,7031
84,7259
85,7441
86,7615
87,7724
88,7960
89,8066
90,8312
91,8454
92,8607
93,8803
94,9069
95,9207
96,9393
97,9617
98,9775
99,9986
